,wordcount
!,12
!!,117
!!!,1
!!…,115
"""",3
"""1",2
"""But",1
"""Delhi",1
"""Delhi""",1
"""I'm",1
"""Mumbai"".",1
"""NDTV""",1
"""Oh,",2
"""Patna""",1
"""So",1
"""Well,",1
"""Where",4
"""Wh…",1
"""Yeah",1
"""hmmmmmmm""",1
"""mann",1
"""कुण्डी",1
"""जनेऊधारी",1
"""जीवित",1
"""तेरा",1
"""दलाली""",3
"""ब""",1
"""मा",1
"""मोदी",3
"""रोमाना",1
"""श्री",1
"""समर",6
"""हामिद…",11
"""…",1
#,3
##Thursdaythought,5
#$,1
#117/18,1
#3CLotusPanacheScam,5
#4SaalModiSarkar,10
#6/18,1
#AIIMS,1
#ANOKHY,1
#Ahmedabad,4
#Amu,1
#AtithiDevonBhavah,1
#Azad,1
#BEDTET2011,5
#BJP,5
#BJPWaveInKarnataka,1
#BharatBachao,12
#BigShame,1
#BoycottVeereDiWedding,1
#ByPoll,3
#ByPollBattle,1
#ByPollResults,3
#ByPoll…,2
#BypollBattle,2
#BypollResults2018,2
#BypollsVerdict,2
#CSK,2
#CSKvSRH,2
#ChennaiSuperKings,1
#CongressMuktBharat,1
#Dhoni,1
#EVM,3
#Exclusive,2
#FitnessChallenge,6
#FuelOnFire,3
#Gujarat,3
#HallaBol,2
#HateM…,2
#HumFitTohIndiaFit,6
#IPL2018Final,1
#IPLFinal,1
#Indian_Media_Died,13
#Justice4TirlochanM,2
#JusticeForJhi…,1
#Kairana,33
#Kairana2019KaTrailer,1
#KairanaByPolls,1
#Kairanabypolls,1
#Keep☺️☺️☺️😂😂😂,1
#Khabardar,2
#KilledForBackingBJP…,1
#LokSabha,1
#Mangaluru,2
#MediaOnSale,2
#MeriDoosriCountry,3
#MoJo,3
#Modi4,1
#ModiInIndonesia,2
#MudraYojana,1
#NewIndia,1
#NoTobacco,14
#NorthKorea,1
#OperationAtulyaBharat,1
#PACL,1
#PetrolParE…,2
#Population,40
#Proud,1
#RPF_भर्ती…,2
#RSS,4
#RT_kre_aur_vote_k…,2
#RailOnRisk,1
#RamzanMubarak,1
#RandomThought,35
#RandomlyThought,2
#RashtrapatiBhawan,1
#Ravish,1
#SVeShekher…,3
#SantRampalji_फिर_बरी,2
#SaveGirlChild,1
#SaveParee,4
#SaviorOfTheWorld_SaintRampalJi,2
#SpecialReport,7
#TaalThokKe,1
#TweetOfTheDay,1
#UPPCSMains2…,11
#UPSWAN,4
#WioNews,2
#WorldNoTobaccoDay,4
#anjanaomkashyap,1
#anjanaomkashyap…,1
#aspartame,1
#bjp,1
#bypoll,9
#bypolls,1
#chiefjustice,5
#chitra_tripathi,1
#deadlyAspartame…,1
#fund,2
#iftaari,3
#jinnahlovers,1
#life...,1
#mediawatch,1
#national_News,1
#no,2
#pradyuman,2
#remembered,2
#salary,2
#samvidhankisapath,1
#savindhan_ki_shapath,1
#savioroftheworld,1
#thanks,1
#upswan,8
#watson,1
#zeenews,1
#आदरणीय_बड़ी_दीदी,1
#आरएसएस,1
#कांग्रेस_मुक्त_भारत,1
#कैराना,2
#गोदी,2
#चाणक्य,1
#चित्रा_त्रिपाठी,1
#छोटका_मोदी,1
#जनरल,2
#जयगंगा,1
#जस्ट_पुछिंग,1
#तेल_खत्म,1
#तोडने,2
#दिव्य…,1
#पत्रकार,2
#पलायन,1
#पांव_छूकर_आशीर्वाद,1
#प्यारबांटतेचलो,1
#प्रथम_पूज्नीय_श्री_गणेश_जी🚩🙏,1
#प्रधान_सेवक,1
#बलिया,2
#बिगाड़ा_भाजपा_का_खेल,1
#बीजेपी,6
#बेटी,1
#भाजपा_मुक्त_भारत,1
#भारत,1
#मईया,1
#माँ_का_आँचल,1
#मालिक,1
#मीडिया,1
#मूर्खसेना,1
#मोदी,2
#यूपी,6
#रोज़ा,2
#वफादार,2
#विकास_का_रथ…,1
#विधायक,6
#शिक्षामित्रों,5
#श्रीराम_नाम_बदनाम।,5
#संविधानकीशपथ,58
#सर्जिकलस्ट्राईक,1
#सोशल_मीडिया,1
#सौभाग्य,1
#हल्ला_बोल,4
#हिन्दी‌_पत्रकारिता_दिवस,1
#…,4
$6.7,1
%,2
&amp;,17
&amp;facts,8
',2
'I,1
'Kushalta,1
'The,1
'behass',1
'just,1
'एक,1
'एक-एक,1
'कण-कण,2
'कोई,5
'खेल',2
'दि…,1
'मां',1
(,1
():,3
(Killer,1
(Modi),1
(cable,4
(fire),1
(tree,1
(utter,1
(which,1
(एएमयू),1
(जोगजकार्ता),18
(भाजपा,1
(वैसे,286
),3
+,2
",",32
",,",3
",Apke",1
",आत्म",4
",जिन्ना",1
",तुम",1
",बाबाजी",4
",मंदिर,",1
",मुझे",1
",यह",1
",रंगरेज़,पठान,सैय्यद,",1
",लेने",4
",…",1
-,30
----,1
-करते,1
-मंथन,4
-योगी,3
-राष्ट्रकवि,6
.,34
..,6
...,1
....,3
.....,1
......,1
........aap,2
.......काँगेस,1
......?,1
.....to,1
...A,1
...Congress,4
...ek,1
...kahi,1
...kaise,1
...sacchi,1
...why,1
...जो,1
...…,2
..?,1
..Sardar,1
..w…,1
..yaad…,1
..चर्चा,2
..भंवरा,1
..…,1
.Just,1
.शावर,1
.…,2
.😂😂😂,1
/,1
/-,1
